Number,NPs EOR Method,NPs Concentration(ppm),Polymer Concentration(ppm),NPs Type,NPs Size(nm),Brine Salinity(ppm),API Gravity,Initial Oil Saturation,Viscosity(cp),Temperature,Prosity(%),Permeability(mD),Rock Type,PV injection,EOR,PV injection (ture),EOR (true),EOR after waterflooding,Paper Number,NPs EOR Method (Numeric),NPs Type (Numeric),Rock Type (Numeric),Class
1,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6037,52.2621,0,0,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
2,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6339,52.2634,0.0302,0.0013,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
3,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.664,52.2648,0.0603,0.0027,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
4,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6941,52.2661,0.0904,0.004,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
5,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.7243,52.2674,0.1206,0.0053,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
6,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.7544,52.2687,0.1507,0.0066,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
7,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.7845,52.27,0.1808,0.0079,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
8,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8147,52.2714,0.211,0.0093,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
9,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8448,52.2727,0.2411,0.0106,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
10,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8749,52.274,0.2712,0.0119,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
11,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.905,52.2753,0.3013,0.0132,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
12,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9352,52.2766,0.3315,0.0145,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
13,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9653,52.278,0.3616,0.0159,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
14,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9954,52.2793,0.3917,0.0172,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
15,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.0256,52.3011,0.4219,0.039,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
16,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.0557,52.3075,0.452,0.0454,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
17,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.0858,52.4611,0.4821,0.199,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
18,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.116,52.6882,0.5123,0.4261,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
19,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.1461,53.0364,0.5424,0.7743,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
20,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.1762,53.3442,0.5725,1.0821,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
21,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.2063,53.5812,0.6026,1.3191,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
22,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.2365,53.6361,0.6328,1.374,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
23,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.2666,53.6374,0.6629,1.3753,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
24,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.2967,53.6388,0.693,1.3767,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
25,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.3269,53.6401,0.7232,1.378,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
26,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.357,53.6414,0.7533,1.3793,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
27,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.3871,53.6427,0.7834,1.3806,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
28,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.4173,53.644,0.8136,1.3819,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
29,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.4474,53.6454,0.8437,1.3833,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
30,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.4775,53.6467,0.8738,1.3846,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
31,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.5077,53.648,0.904,1.3859,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
32,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.5378,53.6493,0.9341,1.3872,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
33,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.5679,53.652,0.9642,1.3899,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
34,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.5943,53.7044,0.9906,1.4423,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
35,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.6056,54.3333,1.0019,2.0712,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
36,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.6357,54.3792,1.032,2.1171,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
37,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.6658,54.3805,1.0621,2.1184,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
38,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.696,54.3818,1.0923,2.1197,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
39,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.7261,54.3831,1.1224,2.121,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
40,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.7562,54.3845,1.1525,2.1224,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
41,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.7864,54.3858,1.1827,2.1237,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
42,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.8165,54.566,1.2128,2.3039,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
43,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.8466,55.1157,1.2429,2.8536,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
44,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.8767,55.8805,1.273,3.6184,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
45,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.9069,56.578,1.3032,4.3159,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
46,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.937,57.2622,1.3333,5.0001,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
47,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.9671,57.8388,1.3634,5.5767,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
48,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.9973,58.3616,1.3936,6.0995,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
49,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.0274,58.7097,1.4237,6.4476,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
50,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.0575,59.0444,1.4538,6.7823,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
51,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.0877,59.2715,1.484,7.0094,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
52,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.1178,59.5659,1.5141,7.3038,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
53,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.1479,59.8199,1.5442,7.5578,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
54,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.1781,60.1815,1.5744,7.9194,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
55,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.2082,60.5699,1.6045,8.3078,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
56,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.2383,61.1734,1.6346,8.9113,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
57,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.2684,61.8441,1.6647,9.582,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
58,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.2986,62.3804,1.6949,10.1183,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
59,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.3287,62.7822,1.725,10.5201,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
60,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.3588,63.09,1.7551,10.8279,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
61,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.389,63.3575,1.7853,11.0954,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
62,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.419,63.3765,1.8153,11.1144,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
63,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.4492,63.3778,1.8455,11.1157,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
64,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.4794,63.3791,1.8757,11.117,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
65,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.5095,63.3804,1.9058,11.1183,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
66,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.5396,63.3818,1.9359,11.1197,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
67,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.5697,63.4155,1.966,11.1534,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
68,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.5999,63.5403,1.9962,11.2782,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
69,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.63,63.6561,2.0263,11.394,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
70,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.6601,64.0042,2.0564,11.7421,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
71,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.6903,64.3389,2.0866,12.0768,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
72,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.7204,64.4179,2.1167,12.1558,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
73,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.7505,64.4345,2.1468,12.1724,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
74,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.7807,64.4372,2.177,12.1751,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
75,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.8108,64.4385,2.2071,12.1764,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
76,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.8409,64.4398,2.2372,12.1777,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
77,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.8711,64.4411,2.2674,12.179,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
78,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.9012,64.4424,2.2975,12.1803,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
79,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.9336,64.4438,2.3299,12.1817,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
80,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.9614,64.4451,2.3577,12.183,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
81,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,3.9897,64.5037,2.386,12.2416,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
82,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6051,48.0347,0,0,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
83,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6355,48.0438,0.0304,0.0091,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
84,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6658,48.0451,0.0607,0.0104,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
85,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6961,48.0465,0.091,0.0118,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
86,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.7264,48.0478,0.1213,0.0131,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
87,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.7567,48.0492,0.1516,0.0145,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
88,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.787,48.0506,0.1819,0.0159,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
89,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8173,48.0519,0.2122,0.0172,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
90,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8476,48.0533,0.2425,0.0186,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
91,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8779,48.0547,0.2728,0.02,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
92,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9082,48.056,0.3031,0.0213,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
93,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9385,48.0574,0.3334,0.0227,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
94,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9688,48.0587,0.3637,0.024,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
95,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9992,48.0601,0.3941,0.0254,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
96,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.0295,48.0692,0.4244,0.0345,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
97,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.0598,48.1617,0.4547,0.127,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
98,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.0901,48.2943,0.485,0.2596,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
99,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.1204,48.494,0.5153,0.4593,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
100,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.1507,48.6803,0.5456,0.6456,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
101,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.181,48.8933,0.5759,0.8586,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
102,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.2113,49.1064,0.6062,1.0717,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
103,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.2416,49.1587,0.6365,1.124,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
104,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.2719,49.2377,0.6668,1.203,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
105,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.3022,49.2499,0.6971,1.2152,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
106,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.3325,49.3045,0.7274,1.2698,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
107,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.3628,49.3059,0.7577,1.2712,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
108,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.3931,49.3072,0.788,1.2725,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
109,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.4234,49.3086,0.8183,1.2739,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
110,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.4537,49.31,0.8486,1.2753,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
111,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.484,49.3113,0.8789,1.2766,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
112,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.5143,49.3127,0.9092,1.278,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
113,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.5446,49.314,0.9395,1.2793,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
114,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.5749,49.3154,0.9698,1.2807,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
115,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.5977,49.3168,0.9926,1.2821,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
116,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.6014,49.9398,0.9963,1.9051,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
117,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.6317,49.9412,1.0266,1.9065,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
118,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.662,49.9425,1.0569,1.9078,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
119,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.6924,49.9841,1.0873,1.9494,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
120,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.7227,50.0189,1.1176,1.9842,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
121,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.753,50.0807,1.1479,2.046,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
122,Polymer-citrate-coated Fe3O4,300,600,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,2.7833,50.1597,1.1782,2.125,"viscosity at 85c, sand pack flooding, NF-300-SE",2,2,1,1,1
